filename,energy,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Moves like Jagger.wav,0.21618296205997467,123.046875,-63.75613784790039,104.28987121582031,-22.10685157775879,29.103538513183594,8.578373908996582,5.042219161987305,-6.962202548980713,3.509782314300537,2.6514110565185547,1.0922846794128418,1.5708602666854858,5.1107964515686035,-1.8470553159713745
Uptown Funk (feat. Bruno Mars) - Mark Ronson.wav,0.14873802661895752,117.4538345336914,-93.22334289550781,68.2799301147461,-6.593914031982422,20.747583389282227,1.8532865047454834,15.622591018676758,1.4246551990509033,6.983123779296875,0.829109251499176,5.068422317504883,4.529857158660889,6.8644914627075195,0.20363806188106537
Hung Up - Madonna.wav,0.23184408247470856,123.046875,-80.06383514404297,74.44072723388672,24.094932556152344,24.371023178100586,13.690110206604004,13.14703369140625,6.4209489822387695,4.505809307098389,2.0673294067382812,3.348376989364624,-2.7995710372924805,3.3888676166534424,-0.3131198287010193
SpotiDown.App - CAN'T STOP THE FEELING! (from DreamWorks Animation's _TROLLS_) - Justin Timberlake.wav,0.18905973434448242,112.3471450805664,-69.64479064941406,79.01483154296875,1.7251362800598145,18.330488204956055,10.748747825622559,8.525524139404297,-5.000426292419434,4.164387226104736,-2.606125831604004,3.10107159614563,0.16638535261154175,4.134687900543213,-1.7487784624099731
Dua Lipa - Physical.wav,0.3112543523311615,143.5546875,-19.86119270324707,84.65167999267578,3.883657217025757,20.07573127746582,2.7584800720214844,7.501849174499512,5.774384498596191,3.456303358078003,2.914231061935425,4.01748514175415,-3.0681276321411133,2.6849334239959717,-4.392512321472168
Linkin Park - In The End.wav,0.15530002117156982,103.359375,-99.75975799560547,115.2292251586914,-37.475555419921875,45.24358367919922,-12.294713020324707,21.513525009155273,-14.82032299041748,21.482450485229492,-7.342227935791016,17.94289207458496,-9.10201644897461,14.217408180236816,-8.70042610168457
Beethoven Symphony No.5 432Hz.wav,0.03753126412630081,103.359375,-294.8782653808594,140.01055908203125,-19.049001693725586,18.034870147705078,0.7227960228919983,-3.36704158782959,-7.736348628997803,-4.932223320007324,-6.533394813537598,-3.1722025871276855,-4.978436470031738,-2.6584880352020264,-1.4147953987121582
25 Swedish House Mafia Feat John Martin - Don't You Worry Child.wav,0.27251380681991577,129.19921875,-23.323835372924805,88.62789916992188,-15.810540199279785,13.008353233337402,-1.2879682779312134,-4.385857105255127,-5.339646816253662,5.654172420501709,-7.5472002029418945,2.073450803756714,-3.050769805908203,0.9867695569992065,1.3572444915771484
The White Stripes - Seven Nation Army.wav,0.20664815604686737,123.046875,-119.46014404296875,69.74916076660156,21.544530868530273,52.00590515136719,8.823259353637695,18.65696144104004,10.120376586914062,16.900075912475586,2.2468042373657227,4.962540149688721,-0.4647881090641022,10.797165870666504,1.4695007801055908
10 - The Empire Strikes Back The Imperial March.wav,0.0644940584897995,103.359375,-188.66929626464844,110.33768463134766,-5.207846164703369,22.52286720275879,-1.0938022136688232,3.0619711875915527,-4.431694030761719,-0.16047728061676025,-5.186858177185059,1.7931216955184937,-5.658466815948486,-0.7871049642562866,-5.039538383483887
Still D.R.E.wav,0.16628864407539368,92.28515625,-101.8431167602539,85.76610565185547,2.5298593044281006,9.819904327392578,-5.173341274261475,0.5524949431419373,-3.9320390224456787,11.181641578674316,3.196704864501953,9.90296459197998,-1.6854966878890991,1.0962210893630981,2.940160036087036
Post Malone ft. Morgan Wallen - I Had Some Help (Official Lyric Video).wav,0.19368363916873932,129.19921875,-163.90158081054688,101.04922485351562,16.96140480041504,34.24909210205078,16.50519561767578,19.14154815673828,6.785642147064209,18.968061447143555,6.858811855316162,13.637951850891113,4.932929992675781,8.812947273254395,5.7200703620910645
Bôa - Duvet (Official Audio).wav,0.05539601296186447,172.265625,-203.28016662597656,104.92417907714844,14.570019721984863,34.44619369506836,8.817076683044434,9.791162490844727,-1.2407020330429077,8.523682594299316,-6.279750347137451,7.795594215393066,-3.943875789642334,1.5192744731903076,-4.4190568923950195
